"Display_Row","Drug","Percentage","Cohort","Group","Total_Species","Sig_Count"
"Streptococcus (Japanese-4D)","Atorvastatin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Azilsartan",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Bisoprolol",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Carvedilol",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Clopidogrel",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Dapagliflozin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Diltiazem",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Enalapril",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Esomeprazole",0.571428571428571,"Japanese-4D","Streptococcus",7,4
"Streptococcus (Japanese-4D)","Fenofibrate",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Fluvastatin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Furosemide",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Glibenclamide",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Gliclazide",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Indapamide",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Irbesartan",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Lansoprazole",0.714285714285714,"Japanese-4D","Streptococcus",7,5
"Streptococcus (Japanese-4D)","Liraglutide",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Metformin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Metoprolol",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Nifedipine",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Olmesartan",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Omeprazole",0.571428571428571,"Japanese-4D","Streptococcus",7,4
"Streptococcus (Japanese-4D)","Prasugrel",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Pravastatin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Rabeprazole",0.571428571428571,"Japanese-4D","Streptococcus",7,4
"Streptococcus (Japanese-4D)","Repaglinide",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Rivaroxaban",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Rosuvastatin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Sitagliptin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Torasemide",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Verapamil",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Vildagliptin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Warfarin",0,"Japanese-4D","Streptococcus",7,0
"Rothia (MetaCardis)","Acarbose",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Allopurinol",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Alogliptin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Amiodarone",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Amlodipine",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Apixaban",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Aspirin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Atenolol",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Atorvastatin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Azilsartan",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Bisoprolol",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Carvedilol",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Clopidogrel",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Dapagliflozin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Diltiazem",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Enalapril",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Esomeprazole",0.5,"MetaCardis","Rothia",2,1
"Rothia (MetaCardis)","Fenofibrate",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Fluvastatin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Furosemide",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Glibenclamide",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Gliclazide",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Indapamide",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Irbesartan",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Lansoprazole",0.5,"MetaCardis","Rothia",2,1
"Rothia (MetaCardis)","Liraglutide",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Metformin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Metoprolol",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Nifedipine",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Olmesartan",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Omeprazole",0.5,"MetaCardis","Rothia",2,1
"Rothia (MetaCardis)","Prasugrel",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Pravastatin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Rabeprazole",1,"MetaCardis","Rothia",2,2
"Rothia (MetaCardis)","Repaglinide",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Rivaroxaban",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Rosuvastatin",0,"MetaCardis","Rothia",2,0
