"Cohort","Species","Row_Label","Esomeprazole","Olmesartan","Rabeprazole","Lansoprazole","Metformin","Clopidogrel","Omeprazole","Atorvastatin","Irbesartan","Rosuvastatin","Furosemide","Apixaban","Prasugrel","Amlodipine","Bisoprolol","Metoprolol","Vildagliptin","Allopurinol","Dapagliflozin","Diltiazem","Gliclazide","Liraglutide","Pravastatin","Torasemide","Amiodarone","Aspirin","Carvedilol","Enalapril","Fluvastatin","Indapamide","Rivaroxaban","Sitagliptin"
"MetaCardis","Veillonella_tobetsuensis","MetaCardis | Veillonella_tobetsuensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Rothia_dentocariosa","MetaCardis | Rothia_dentocariosa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_infantarius","MetaCardis | Streptococcus_infantarius",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_lutetiensis","MetaCardis | Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MetaCardis","Streptococcus_macedonicus","MetaCardis | Streptococcus_macedonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_pasteurianus","MetaCardis | Streptococcus_pasteurianus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_salivarius_CAG_79","MetaCardis | Streptococcus_salivarius_CAG_79",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_sp_NLAE_zl_C503","MetaCardis | Streptococcus_sp_NLAE_zl_C503",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_thermophilus","MetaCardis | Streptococcus_thermophilus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Veillonella_rodentium","MetaCardis | Veillonella_rodentium",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
