Taxon,CRC_Unadjusted,CRC_Adjusted,CVD_Unadjusted,CVD_Adjusted,NAFLD_FLD_Unadjusted,NAFLD_FLD_Adjusted,Parkinsons_Unadjusted,Parkinsons_Adjusted,Polyps_Unadjusted,Polyps_Adjusted,T2D_Unadjusted,T2D_Adjusted
Prevotella_copri,-0.111110000011111,-0.111110000011111,-0.49999750001249993,-0.49999750001249993,-0.333330000033333,-0.333330000033333,-0.333330000033333,-0.333330000033333,0.19999800001999982,0.19999800001999982,-0.08333291666874998,0.0
Clostridium_citroniae,0.3333322222259259,0.3333322222259259,0.24999750002499976,0.24999750002499976,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.0,0.1666650000166665,0.1666650000166665
Mitsuokella_multacida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999800001999982,0.19999800001999982,0.1666650000166665,0.0
Victivallis_vadensis,0.0,0.0,0.0,0.0,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,0.0,-0.1666650000166665
Roseburia_sp_CAG_309,-0.22222111111666662,-0.22222111111666662,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,0.0
Parabacteroides_johnsonii,0.0,0.0,0.24999750002499976,0.24999750002499976,0.333330000033333,0.333330000033333,0.0,0.0,0.19999800001999982,0.19999800001999982,0.1666650000166665,0.1666650000166665
Coprobacter_secundus,0.0,0.0,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665
Streptococcus_salivarius,-0.111110000011111,-0.111110000011111,0.49999750001249993,0.49999750001249993,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665,0.1666650000166665
Bacteroides_faecis,0.0,0.111110000011111,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.09999950000249998,-0.09999950000249998,0.1666650000166665,0.3333316666749999
Bacteroides_galacturonicus,0.0,0.0,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lactobacillus_rogosae,-0.111110000011111,-0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665
Klebsiella_quasipneumoniae,0.0,0.0,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruminococcus_obeum_CAG_39,0.0,0.0,0.0,0.0,-0.333330000033333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
