Taxon,age_association_controls,CRC,CVD,NAFLD_FLD,Parkinsons,Polyps,T2D
Lactobacillus_rogosae,0.0,-0.111110000011111,0.0,0.0,0.0,0.0,-0.1666650000166665
Klebsiella_quasipneumoniae,0.0555550000055555,0.0,0.24999750002499976,0.0,0.0,0.0,0.0
Ruminococcus_obeum_CAG_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_fragilis,0.16666611111296295,0.111110000011111,0.0,0.0,-0.333330000033333,0.0,0.1666650000166665
Streptococcus_parasanguinis,0.12499968750078123,0.0,0.49999750001249993,0.0,0.0,0.0,0.3333316666749999
Oxalobacter_formigenes,-0.11111055555833331,0.111110000011111,-0.24999750002499976,0.333330000033333,0.0,0.0,-0.1666650000166665
Lactobacillus_ruminis,-0.11111055555833331,0.0,0.24999750002499976,0.0,0.333330000033333,0.0,0.1666650000166665
Dialister_invisus,-0.0555550000055555,0.111110000011111,0.0,0.0,0.0,0.0,0.0
Parabacteroides_goldsteinii,0.07407382716131686,0.22222111111666662,0.0,0.333330000033333,0.333330000033333,-0.39999800000999997,0.0
Bacteroides_finegoldii,-0.16666611111296295,0.0,0.0,0.333330000033333,-0.333330000033333,0.0,0.0
Veillonella_dispar,0.16666611111296295,-0.111110000011111,0.24999750002499976,0.0,0.0,-0.19999800001999982,0.0
Alistipes_inops,0.07407382716131686,0.05555527777916665,0.0,0.0,0.0,0.0,-0.1666650000166665
Desulfovibrionaceae_bacterium,0.0555550000055555,0.22222111111666662,-0.24999750002499976,0.0,0.0,0.19999800001999982,0.0
Clostridium_spiroforme,-0.0555550000055555,0.0,0.0,0.0,-0.333330000033333,0.0,0.0
Bacteroides_clarus,-0.027777638889583324,0.0,0.0,-0.333330000033333,0.0,-0.39999800000999997,-0.1666650000166665
Hungatella_hathewayi,-0.027777638889583324,0.111110000011111,0.49999750001249993,0.0,0.6666633333499998,0.0,0.0
Clostridium_aldenense,-0.11111055555833331,0.22222111111666662,0.0,0.0,0.0,0.0,0.1666650000166665
Roseburia_sp_CAG_182,0.0,0.111110000011111,-0.24999750002499976,0.0,0.0,0.19999800001999982,-0.1666650000166665
Clostridium_sp_CAG_167,-0.11111055555833331,-0.111110000011111,-0.24999750002499976,0.0,0.0,0.0,-0.1666650000166665
Monoglobus_pectinilyticus,0.0,-0.111110000011111,0.0,0.0,0.0,0.0,0.0
Eggerthella_lenta,0.0,0.22222111111666662,0.49999750001249993,0.333330000033333,0.0,0.0,0.0
Bacteroides_salyersiae,0.0,0.111110000011111,0.24999750002499976,0.333330000033333,0.0,0.0,0.0
Clostridium_bolteae,-0.27777722222333334,0.22222111111666662,0.24999750002499976,0.0,0.0,0.0,0.3333316666749999
Clostridium_sp_CAG_253,0.0555550000055555,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium_symbiosum,-0.0555550000055555,0.4444433333361111,0.24999750002499976,0.0,0.0,0.0,0.6666650000041666
Bacteroides_nordii,0.07407382716131686,0.05555527777916665,0.24999750002499976,0.0,0.0,0.0,0.0
Clostridium_clostridioforme,-0.0555550000055555,0.111110000011111,0.0,0.0,-0.333330000033333,0.0,0.1666650000166665
Allisonella_histaminiformans,-0.11111055555833331,0.0,0.49999750001249993,0.0,0.0,0.19999800001999982,0.1666650000166665
Clostridium_asparagiforme,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665
Clostridium_saccharolyticum,0.0,0.111110000011111,0.0,0.0,0.0,0.0,0.1666650000166665
Firmicutes_bacterium_CAG_145,0.0555550000055555,0.111110000011111,0.0,0.0,0.0,0.0,0.0
Ruminococcaceae_bacterium_D5,0.0555550000055555,0.111110000011111,0.0,-0.333330000033333,0.0,-0.19999800001999982,0.0
Eubacterium_sp_OM08_24,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665
Acidaminococcus_intestini,-0.22222166666805554,0.0,0.24999750002499976,0.333330000033333,0.333330000033333,0.0,0.3333316666749999
Actinomyces_odontolyticus,-0.0555550000055555,0.22222111111666662,0.24999750002499976,0.0,0.0,0.0,0.1666650000166665
Ruminococcaceae_bacterium_D16,-0.0555550000055555,0.0,0.0,0.0,0.0,0.0,0.0
Christensenella_minuta,0.0,0.22222111111666662,0.24999750002499976,0.0,0.333330000033333,0.0,0.1666650000166665
Haemophilus_sp_HMSC71H05,0.0,0.0,0.0,0.0,-0.333330000033333,0.0,-0.3333316666749999
Veillonella_parvula,0.27777722222333334,0.111110000011111,0.0,0.0,-0.333330000033333,0.0,0.0
Lactococcus_lactis,-0.0555550000055555,0.22222111111666662,0.0,0.0,0.0,0.0,-0.1666650000166665
Gemella_sanguinis,0.0,0.111110000011111,0.49999750001249993,0.0,0.0,0.0,0.0
Klebsiella_variicola,0.0,0.0,0.24999750002499976,0.0,0.0,0.0,0.0
Paraprevotella_xylaniphila,-0.0555550000055555,-0.111110000011111,0.0,0.0,0.0,0.0,0.1666650000166665
Veillonella_atypica,0.22222166666805554,-0.111110000011111,0.24999750002499976,0.333330000033333,0.0,0.0,-0.1666650000166665
Klebsiella_pneumoniae,0.0,-0.111110000011111,0.24999750002499976,0.0,0.0,0.0,0.0
Anaerotruncus_colihominis,0.07407382716131686,0.22222111111666662,0.0,0.0,0.6666633333499998,0.0,0.3333316666749999
Bifidobacterium_bifidum,-0.11111055555833331,-0.111110000011111,0.49999750001249993,0.333330000033333,0.6666633333499998,0.19999800001999982,0.3333316666749999
Sellimonas_intestinalis,0.0,0.111110000011111,0.24999750002499976,0.0,0.0,0.0,0.3333316666749999
Firmicutes_bacterium_CAG_94,0.0,0.0,0.0,0.0,0.0,0.19999800001999982,0.0
Veillonella_sp_T11011_6,0.16666611111296295,-0.111110000011111,0.24999750002499976,0.0,0.0,0.0,0.1666650000166665
Streptococcus_infantis,0.0,0.0,0.7499975000083333,0.0,0.0,0.0,0.0
Streptococcus_australis,0.16666611111296295,0.0,0.24999750002499976,0.0,0.0,0.0,0.0
Blautia_hydrogenotrophica,-0.388888333334127,0.0,0.24999750002499976,0.333330000033333,0.0,0.0,0.4999983333388889
Actinomyces_sp_ICM47,0.0555550000055555,0.111110000011111,0.24999750002499976,0.0,0.0,0.19999800001999982,0.0
Coprobacillus_cateniformis,-0.0555550000055555,0.111110000011111,0.0,0.333330000033333,0.333330000033333,0.19999800001999982,0.0
Veillonella_infantium,0.22222166666805554,-0.111110000011111,0.49999750001249993,0.0,0.0,0.0,0.0
