"Cohort","Drug","focal_sig","focal_nonsig","others_sig","others_nonsig","Fisher_P","Fisher_FDR","Significance"
"Combined both Cohorts (Fisher's Method)","Indapamide",1,59,49,944,0.998791223495981,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Irbesartan",4,56,22,971,0.225142303845814,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Lansoprazole",17,43,49,944,2.17870945911101e-09,1.37258695923994e-07,"FDR <= 0.05"
"Combined both Cohorts (Fisher's Method)","Liraglutide",2,58,17,976,0.666106570435029,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Metformin",5,55,35,958,0.255412421958531,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Metoprolol",0,60,5,988,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Nifedipine",2,58,9,984,0.396121489934741,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Olmesartan",10,50,33,960,0.000848438377746423,0.00890860296633745,"FDR <= 0.05"
"Combined both Cohorts (Fisher's Method)","Omeprazole",8,52,25,968,0.000114862750479837,0.00180908832005743,"FDR <= 0.05"
"Combined both Cohorts (Fisher's Method)","Prasugrel",2,58,21,972,0.737768802417613,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Pravastatin",1,59,33,960,0.990688525994588,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Rabeprazole",10,50,27,966,1.28470855587964e-05,0.000323746556081668,"FDR <= 0.05"
"Combined both Cohorts (Fisher's Method)","Repaglinide",0,60,5,988,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Rivaroxaban",0,60,11,982,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Rosuvastatin",2,58,21,972,0.758496124870177,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Sitagliptin",0,60,23,970,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Torasemide",2,58,22,971,0.758496124870177,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Verapamil",0,60,15,978,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Vildagliptin",2,58,21,972,0.715511025511205,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Warfarin",2,58,43,950,0.966610396982702,1,"Not Significant"
